document_name,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
book,0.084677316,0.083335236,0.5813709,0.08371997,0.08342829,0.083468325
manual,0.083564684,0.083344914,0.08334412,0.08379734,0.08334456,0.58260435
save,0.08366058,0.08423724,0.08445619,0.5801312,0.08356169,0.083953135
devic,0.08362312,0.08398675,0.08456457,0.5792115,0.08439424,0.084219806
/sdcard/book,0.5830191,0.083398655,0.08339462,0.08339616,0.08339668,0.08339481
In,0.5819638,0.083597764,0.08441597,0.08333933,0.08333944,0.08334371
addit,0.58116215,0.08368926,0.083791666,0.08335427,0.08397223,0.08403043
reader,0.5811007,0.08376697,0.08390072,0.08455715,0.083337136,0.083337314
local,0.581727,0.083765686,0.084192574,0.083361745,0.08361002,0.08334294
34,0.5830192,0.08339865,0.08339458,0.08339612,0.08339669,0.08339479
languag,0.58203685,0.08333889,0.083727,0.08403737,0.08341265,0.08344722
includ,0.08435491,0.08348256,0.0843189,0.5796107,0.084080964,0.08415196
hyphen,0.58320004,0.08336097,0.083359286,0.08336007,0.08336024,0.083359405
pattern,0.08352929,0.083747685,0.08334232,0.08334283,0.5815118,0.084526055
24,0.58319974,0.08336108,0.083359346,0.08336012,0.083360255,0.08335943
languag,0.58206254,0.08333889,0.08372566,0.084013306,0.08341254,0.083447054
'',0.083949275,0.08444287,0.0842756,0.57929194,0.08379696,0.08424335
b'give,0.08338971,0.08339328,0.58304334,0.08339157,0.08339195,0.083390154
real-tim,0.08343227,0.5831109,0.08344302,0.08333803,0.083337925,0.08333782
read,0.08423235,0.08407739,0.5812304,0.08379107,0.083334416,0.08333434
tesla,0.08334051,0.08334117,0.583296,0.083340876,0.083340935,0.08334053
model,0.08333867,0.083577506,0.5823884,0.08352543,0.08353069,0.08363929
S,0.08335727,0.08335905,0.5823766,0.08419124,0.08335834,0.083357535
3,0.08377254,0.083624795,0.5821644,0.08354358,0.08355832,0.0833364
X,0.08334213,0.0833426,0.5830792,0.08334235,0.083342366,0.083551355
Y,0.08335725,0.08335891,0.58321005,0.0833581,0.08335826,0.083357416
diagnost,0.08333571,0.58289355,0.08370707,0.08333585,0.08333585,0.08339199
port,0.083348446,0.083349645,0.5828876,0.08334906,0.08334922,0.08371604
thi,0.08354088,0.083539665,0.084669724,0.08362413,0.08335378,0.5812718
need,0.08362829,0.083733216,0.08423637,0.5807529,0.08379423,0.08385495
adapt,0.0833359,0.08386962,0.58264387,0.083336085,0.083336085,0.08347847
cabl,0.08334839,0.08334959,0.58325547,0.083348945,0.08334908,0.083348505
bluetooth,0.08345689,0.08465743,0.5803658,0.08356604,0.08408797,0.0838659
obd2,0.083335645,0.5830729,0.08358424,0.08333579,0.083335735,0.08333568
