topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
0,0,0,0,0,0.43404782,0,0.14420629,0.05931396,0,0.060389392,0
0,0.6100146,0.036863472,0,0,0.06454854,0,0,0,0,0,0.046326537
0,0.09249295,0,0,0.07399708,0.35194704,0,0.11586604,0,0,0,0
0,0,0,0,0.07946688,0.16375871,0,0.11864832,0,0,0.088648416,0
0,0,0,0,0.069306724,0.42778936,0,0.14700541,0.055911828,0,0,0
0,0,0,0,0,0.30819818,0.0608048,0,0.08488303,0.21379961,0,0
0,0,0,0,0,0.2641561,0.08008832,0.12972641,0,0,0.07974473,0
0,0.07066219,0,0,0,0.26314533,0,0.17216462,0,0,0.09593211,0
0,0.09723386,0,0,0,0.2027831,0,0.10485644,0,0,0.105596624,0
0,0,0,0,0,0.3199017,0,0.0947296,0.13595963,0,0.119125254,0
0,0,0,0,0,0.15774637,0.48775095,0.049820174,0,0,0,0.06805983
0,0.06487213,0,0,0.091058075,0.29607555,0,0.16277795,0,0,0,0
0,0.06919281,0,0,0,0.32547036,0,0.17876925,0,0,0.06983127,0
0,0,0,0,0.10096046,0.17174983,0.088207565,0.11343788,0,0,0,0
0.055834357,0.06477335,0,0,0,0.52802444,0,0.057414517,0,0,0,0
0,0,0,0.033454843,0,0.666785,0.054775123,0.039999455,0,0,0,0
0,0,0,0.05497331,0,0.5343392,0.04988809,0,0,0,0.04436925,0
0,0,0,0.48525444,0,0,0,0,0,0.05615845,0.05350621,0.05279777
0.01729673,0,0,0.016295986,0,0,0,0,0,0.83066285,0,0.015688762
0.104590185,0.117570095,0,0,0,0,0,0.08393391,0,0.081388496,0,0
0.088722356,0,0.115656674,0,0,0,0,0,0.13932995,0,0,0.15772684
0,0.01864455,0.024491137,0.8097041,0,0,0,0,0.024399333,0,0,0
0.014778594,0,0,0.012985379,0,0,0,0,0,0.8645631,0,0.012586881
0.05124713,0,0.05491533,0,0,0.5029919,0,0,0,0.048969403,0,0
0,0,0.049504742,0,0,0.049616825,0,0,0.075229935,0,0,0.518167
0.06803649,0,0.05895447,0.52832514,0,0,0.05013987,0,0,0,0,0
0.09257825,0,0.11387125,0.11685976,0,0.09526597,0,0,0,0,0,0
0,0,0,0,0,0,0.039772812,0,0.03386531,0.64501345,0,0.033991072
0.6766151,0.01540166,0,0,0,0,0,0,0,0.18301947,0,0.015661797
0,0,0.02484357,0,0.027325273,0.7417355,0,0,0,0,0,0.024554592
0.012240851,0,0,0.012605431,0,0,0,0,0,0.871681,0,0.012286435
0.09375971,0,0.08242051,0,0,0,0,0,0,0.15501496,0.089954756,0
0,0,0,0.065865874,0,0.08626692,0,0,0,0.39428008,0,0.0731507
0,0,0,0.332153,0,0.2821464,0,0.05039993,0.04498863,0,0,0
0,0,0.018049633,0.018799096,0.8198284,0.01975937,0,0,0,0,0,0
0,0,0.098605715,0.118399195,0.05736488,0,0.33973587,0,0,0,0,0
0,0,0.08372936,0.18296373,0,0.2674676,0,0,0.09608555,0,0,0
0,0,0.095242545,0.10129654,0,0,0.053199522,0,0,0,0.5216034,0
0,0,0.035136435,0.03684981,0.6969356,0.029610861,0,0,0,0,0,0
0,0,0.043107845,0.09878715,0.2967411,0,0,0,0.34883082,0,0,0
0,0,0,0,0,0.07918224,0,0.118688405,0,0,0.21021567,0.10203871
0,0.07892466,0,0,0,0.07899024,0,0,0,0.0926532,0,0.26463413
0,0,0.028348207,0.0858329,0.04736333,0,0,0,0,0,0.68527627,0
0,0.039270535,0,0.039207146,0.035079315,0,0,0,0,0,0,0.67770094
0,0,0,0.023941018,0.7558561,0,0.023069972,0,0,0.02389996,0,0
0,0,0.024866201,0.022398746,0.76424176,0,0,0,0,0.022352416,0,0
0,0.80341595,0,0,0.020006083,0,0,0,0,0.02043011,0,0.031750713
0.04365534,0,0.04013029,0.13595952,0,0,0,0,0.5329196,0,0,0
0,0,0.7147194,0.03332574,0.046160318,0,0,0,0,0,0.033383153,0
0,0,0,0,0.10636912,0.09875178,0.08850267,0,0,0.08670275,0,0
0.02344243,0,0.0210588,0.022726182,0,0.795606,0,0,0,0,0,0
0,0.028716728,0,0.026379032,0,0,0,0.026793448,0,0,0,0.7407081
0,0,0,0.0367214,0.040619638,0,0.7303358,0,0,0,0.026856193,0
0,0.05098963,0,0,0,0,0,0.3156656,0,0.3194296,0,0.12959915
0,0.07275591,0,0,0.057901222,0,0.31688437,0.18933336,0,0,0,0
0,0.017514285,0,0,0,0,0.80615264,0.037552543,0.019068645,0,0,0
0,0,0,0,0.06673124,0,0.19357337,0.30233672,0,0,0.06443417,0
0,0.04927771,0,0,0,0,0.41469732,0.17092769,0.048687752,0,0,0
0,0,0,0.09501761,0,0.0926785,0.112865426,0.16003083,0,0,0,0
0,0.03635056,0,0,0.041798558,0.03546771,0,0.65729666,0,0,0,0
0.089089006,0,0,0,0,0,0.09830379,0.12656057,0,0,0,0.110435106
0,0,0,0,0,0.05038752,0,0.52720606,0,0.07391578,0,0.058141652
0,0,0.06151771,0,0,0,0.15419067,0.3137126,0,0,0,0.076239415
0,0,0,0,0,0.08836541,0.09172103,0.3037143,0.0741627,0,0,0
0,0,0.02490798,0.023294564,0,0,0.041359987,0.7573724,0,0,0,0
0,0.033189937,0,0.026424242,0,0.028589817,0,0.72345245,0,0,0,0
0,0,0,0.048319295,0,0.048136022,0.087761946,0.5854418,0,0,0,0
0,0.10058562,0,0,0.09544701,0,0,0.24334992,0,0,0.097885855,0
0,0,0,0,0.019457156,0.018515985,0.021703608,0.8112663,0,0,0,0
0,0,0,0.020789867,0,0,0.65053016,0.15657896,0,0,0.023179153,0
0,0,0,0.07336369,0,0.07417941,0.22018802,0.3283218,0,0,0,0
0,0,0,0,0,0,0.074486926,0.2837453,0,0.30484036,0.043737188,0
0,0,0.02370926,0.034565236,0,0,0.023516811,0.7661344,0,0,0,0
0,0,0,0,0,0.07042765,0.06928794,0.052853264,0,0,0,0.5496216
0,0.025152674,0,0,0,0,0,0.76867306,0,0.02509884,0.02751064,0
0,0.17118548,0,0.060242835,0,0.22322609,0,0.24914713,0,0,0,0
0,0.05884328,0,0,0,0.036340874,0,0.5978899,0.03965368,0,0,0
